id,name,author,enrolls,description,image,link,overall_rating,catagory,platform,university,released_date,country,language,price,duration,certificate,material_type,added_by,num_of_reviews,num_of_ratings,image_mobile,total_ratings
982,Basics of Investing,Karthik Rangappa,0,"Investing ensures financial security, and the Stock market plays a pivotal role in this domain, it is a place where people buy/sell shares of publicly listed companies. In this module, you will learn about the fundamentals of the stock market, how to get started, how it functions and the various intermediaries that appertain it.",https://res.cloudinary.com/hire-easy/image/upload/v1662628662/varsity_m0eyt2.jpg,https://zerodha.com/varsity/,4.0,Finance,zerodha.com/varsity/,"",2022-09-08,India,English,0,4,true,Textual,Neesham,0,0,https://res.cloudinary.com/hire-easy/image/upload/v1662628662/varsity_m0eyt2.jpg,0
2,A Crash Course in Data Science,Johns Hopkins University,130k,"","",https://www.coursera.org/search?query=A Crash Course in Data Science,4.5,Computer Science,Coursera,Johns Hopkins University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
875,10 FREE Blogging Tools That Will Make You a Better Blogger,Tyler Speegle,322105,Discover 10 blogging tools for increasing your blogging and writing productivity. The ultimate blogging tools course!,https://img-c.udemycdn.com/course/240x135/1333640_cba0.jpg,https://www.udemy.com/course/10-free-blogging-tools/,2.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/1333640_cba0.jpg,0
876,100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,600540,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",https://s.udemycdn.com/premium-clp/2776760/CourseImage-240x135.jpg,https://www.udemy.com/course/100-days-of-code/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/2776760_f176_10.jpg,0
877,2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,203501,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,https://s.udemycdn.com/premium-clp/567828/CourseImage-240x135.jpg,https://www.udemy.com/course/complete-python-bootcamp/,2.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/567828_67d0.jpg,0
993,Data Structures and Algorithms,Codehelp - by Babbar,0,"Master the complete DSA, placement cource in C++ language, best competitive programming language.",https://image.telegram-group.org/Uploads/2022/08/RywshOJnhv.jpg,https://youtube.com/playlist?list=PLDzeHZWIZsToJ9zSl4-5BfOBzAR0fm--f,8.0,Computer Science,YouTube,"",2022-11-23,India,English,0,4,false,Videos,Neesham,0,0,https://image.telegram-group.org/Uploads/2022/08/RywshOJnhv.jpg,0
10,AI for Medical Prognosis,deeplearning.ai,4k,"","",https://www.coursera.org/search?query=AI for Medical Prognosis,4.6,Computer Science,Coursera,deeplearning.ai,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
881,Advanced Databases and SQL Querying,Rakesh Gopalakrishnan,293752,Learn advanced T-SQL Querying concepts. Go from a beginner SQL programmer to writing complex SQL Queries.,https://img-c.udemycdn.com/course/240x135/584648_1cad_3.jpg,https://www.udemy.com/course/advanced-tsql-querying-using-sql-2014/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/584648_1cad_3.jpg,0
12,AWS Fundamentals,Amazon Web Services,130k,"","",https://www.coursera.org/search?query=AWS Fundamentals,4.6,Computer Science,Coursera,Amazon Web Services,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
13,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,11k,"","",https://www.coursera.org/search?query=AWS Fundamentals: Addressing Security Risk,4.3,Computer Science,Coursera,Amazon Web Services,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
